I,V,R,P,mAh,wh,time,
0.0997,4.1743,41.8761,0.4161,24.3165,0.1019,   0:14:40,
0.0995,4.1742,41.9593,0.4153,24.4416,0.1024,   0:14:44,
0.0996,4.1740,41.9171,0.4156,24.5662,0.1029,   0:14:49,
0.0997,4.1739,41.8787,0.4160,24.6908,0.1035,   0:14:53,
0.0997,4.1738,41.8841,0.4159,24.8160,0.1040,   0:14:58,
0.0996,4.1736,41.8925,0.4158,24.9406,0.1045,   0:15: 2,
0.0997,4.1735,41.8578,0.4161,25.0653,0.1050,   0:15: 7,
0.0997,4.1733,41.8698,0.4160,25.1905,0.1055,   0:15:11,
0.0996,4.1732,41.9187,0.4155,25.3151,0.1061,   0:15:16,
0.0996,4.1731,41.9107,0.4155,25.4403,0.1066,   0:15:20,
0.0997,4.1729,41.8591,0.4160,25.5654,0.1071,   0:15:25,
0.0996,4.1728,41.9077,0.4155,25.6901,0.1076,   0:15:29,
0.0996,4.1726,41.8896,0.4156,25.8146,0.1082,   0:15:34,
0.0996,4.1725,41.8815,0.4157,25.9393,0.1087,   0:15:38,
0.0995,4.1724,41.9173,0.4153,26.0639,0.1092,   0:15:43,
0.0995,4.1723,41.9331,0.4151,26.1885,0.1097,   0:15:47,
0.0996,4.1721,41.8806,0.4156,26.3136,0.1102,   0:15:52,
0.0997,4.1720,41.8662,0.4157,26.4383,0.1108,   0:15:57,
0.0995,4.1718,41.9118,0.4153,26.5629,0.1113,   0:16: 1,
0.0997,4.1717,41.8564,0.4158,26.6876,0.1118,   0:16: 6,
0.0995,4.1715,41.9090,0.4152,26.8121,0.1123,   0:16:10,
0.0996,4.1714,41.8904,0.4154,26.9372,0.1128,   0:16:15,
0.0995,4.1712,41.9093,0.4152,27.0634,0.1134,   0:16:19,
0.0996,4.1711,41.8810,0.4154,27.1879,0.1139,   0:16:24,
0.0995,4.1710,41.9338,0.4149,27.3124,0.1144,   0:16:28,
0.0996,4.1708,41.8850,0.4153,27.4369,0.1149,   0:16:33,
0.0994,4.1707,41.9414,0.4147,27.5614,0.1154,   0:16:37,
0.0997,4.1706,41.8386,0.4157,27.6860,0.1160,   0:16:42,
0.0996,4.1705,41.8846,0.4153,27.8111,0.1165,   0:16:46,
0.0997,4.1703,41.8460,0.4156,27.9358,0.1170,   0:16:51,
0.0997,4.1702,41.8412,0.4156,28.0606,0.1175,   0:16:55,
0.0995,4.1700,41.9310,0.4147,28.1852,0.1180,   0:17: 0,
